subject,run,hemi,mode_k,beta,p
sub-EN057,16,L,69,-0.0106326985417479,0.7926181333691988
sub-EN057,16,L,70,-0.4992396700364517,0.3820203691141853
sub-EN057,16,L,71,-0.1896352766805817,0.367436136413956
sub-EN057,16,L,72,-0.0041482061183879,0.8750364414600864
sub-EN057,16,L,73,0.0244428570395735,0.4523909468634727
sub-EN057,16,L,74,-0.5182354544757465,0.3871210252627137
sub-EN057,16,L,75,-0.0495647749686255,0.3402926647648755
sub-EN057,16,L,76,-0.2266343566229168,0.3560278612387629
sub-EN057,16,L,77,-0.2949640484191756,0.278538507054741
sub-EN057,16,L,78,-0.9403617964789156,0.4008416487888048
sub-EN057,16,L,79,-0.0105657099941713,0.8533987599186035
sub-EN057,16,L,80,-0.0666751897877224,0.2654001987905969
sub-EN057,16,L,81,-0.1658839915366418,0.3288850068172846
sub-EN057,16,L,82,-0.2364776256798809,0.420702434272919
sub-EN057,16,L,83,-0.2263876701005806,0.3837425414967541
sub-EN057,16,L,84,-0.1602354737403042,0.3400229139104759
sub-EN057,16,L,85,-0.0460369212146871,0.1779005190133179
sub-EN057,16,L,86,-0.2435491949448094,0.3632087709029931
sub-EN057,16,L,87,-0.0200381854234744,0.0741519302660442
sub-EN057,16,L,88,-0.3402456269147075,0.2666457541708437
sub-EN057,16,L,89,-0.0307693077271822,0.4135600366610614
sub-EN057,16,L,90,-0.0502088833943875,0.2758437283917295
sub-EN057,16,L,91,-0.016208855576099,0.4469339019221992
sub-EN057,16,L,92,-0.1305308013913062,0.3342186388926454
sub-EN057,16,L,93,-0.2005435567756845,0.4124598827918022
sub-EN057,16,L,94,0.0055426160812019,0.8884531248093859
sub-EN057,16,L,95,-0.0210500326259877,0.3232922751600433
sub-EN057,16,L,96,-0.1651299770675489,0.3696225284962576
sub-EN057,16,L,97,-0.2366364203389558,0.4111414832782769
sub-EN057,16,L,98,-0.1201932281791972,0.3028085236847471
sub-EN057,16,L,99,0.0026466573072977,0.8775268206963422
sub-EN057,16,L,100,-0.0744112595390404,0.041464272523092
